18.961164, 9.092888, 134.358780, 1.000000@0.168627, 0.811765, 0.019608, 0.000000@23, 24, 49, 0
20.273520, 8.049916, 136.967743, 1.000000@0.027451, 0.850980, 0.121569, 0.000000@23, 24, 49, 0
19.001554, 7.029425, 135.083649, 1.000000@0.160784, 0.803922, 0.035294, 0.000000@23, 24, 49, 0
20.273520, 8.049916, 136.967743, 1.000000@0.027451, 0.850980, 0.121569, 0.000000@23, 24, 49, 0
18.961164, 9.092888, 134.358780, 1.000000@0.168627, 0.811765, 0.019608, 0.000000@23, 24, 49, 0
20.141665, 10.590734, 137.050095, 1.000000@0.145098, 0.729412, 0.125490, 0.000000@23, 24, 49, 0
17.816441, 13.802220, 134.545715, 1.000000@0.352941, 0.588235, 0.058824, 0.000000@23, 24, 49, 0
18.961164, 9.092888, 134.358780, 1.000000@0.168627, 0.811765, 0.019608, 0.000000@23, 24, 49, 0
19.956385, 14.720415, 138.768021, 1.000000@0.325490, 0.584314, 0.090196, 0.000000@23, 24, 49, 0
17.891321, 16.077103, 138.679993, 1.000000@0.443137, 0.517647, 0.039216, 0.000000@23, 24, 49, 0
16.305996, 15.564692, 134.714493, 1.000000@0.494118, 0.380392, 0.015686, 0.109804@23, 24, 25, 49
19.223513, 16.238117, 141.919205, 1.000000@0.341176, 0.466667, 0.019608, 0.172549@23, 24, 25, 49
15.840243, 17.172323, 138.699005, 1.000000@0.450980, 0.427451, 0.027451, 0.094118@23, 24, 25, 49
14.359669, 16.905645, 135.179703, 1.000000@0.701961, 0.200000, 0.015686, 0.082353@23, 24, 25, 49
15.840243, 17.172323, 138.699005, 1.000000@0.450980, 0.427451, 0.027451, 0.094118@23, 24, 25, 49
17.266575, 17.050381, 142.638535, 1.000000@0.325490, 0.596078, 0.015686, 0.062745@23, 24, 25, 49
15.840243, 17.172323, 138.699005, 1.000000@0.450980, 0.427451, 0.027451, 0.094118@23, 24, 25, 49
18.993359, 16.615446, 144.233582, 1.000000@0.333333, 0.411765, 0.050980, 0.203922@23, 24, 25, 49
15.750144, 18.244654, 138.181992, 1.000000@0.525490, 0.337255, 0.035294, 0.101961@23, 24, 25, 49
15.840243, 17.172323, 138.699005, 1.000000@0.450980, 0.427451, 0.027451, 0.094118@23, 24, 25, 49
14.599026, 17.847504, 135.019806, 1.000000@0.768628, 0.160784, 0.015686, 0.054902@23, 24, 25, 49
15.528563, 19.063700, 142.478851, 1.000000@0.388235, 0.549020, 0.023529, 0.039216@23, 24, 25, 49
15.840243, 17.172323, 138.699005, 1.000000@0.450980, 0.427451, 0.027451, 0.094118@23, 24, 25, 49
17.426691, 17.094543, 144.610382, 1.000000@0.286275, 0.603922, 0.035294, 0.074510@23, 24, 25, 49
19.088991, 16.738493, 146.491394, 1.000000@0.294118, 0.400000, 0.098039, 0.207843@23, 24, 25, 49
15.840243, 17.172323, 138.699005, 1.000000@0.450980, 0.427451, 0.027451, 0.094118@23, 24, 25, 49
15.406769, 18.232740, 143.573944, 1.000000@0.266667, 0.627451, 0.039216, 0.066667@23, 24, 25, 49
15.406769, 18.232740, 143.573944, 1.000000@0.266667, 0.627451, 0.039216, 0.066667@23, 24, 25, 49
15.840243, 17.172323, 138.699005, 1.000000@0.450980, 0.427451, 0.027451, 0.094118@23, 24, 25, 49
15.528563, 19.063700, 142.478851, 1.000000@0.388235, 0.549020, 0.023529, 0.039216@23, 24, 25, 49
15.406769, 18.232740, 143.573944, 1.000000@0.266667, 0.627451, 0.039216, 0.066667@23, 24, 25, 49
16.024717, 17.050152, 148.707825, 1.000000@0.196078, 0.615686, 0.133333, 0.054902@23, 24, 25, 49
